GEOUID,FEDUID,Riding,FirstName,LastName,Email,Party,Commute,Mode,Recommendation
59002,59002,Burnaby North--Seymour / Burnaby-Nord--Seymour,Terry,Beech,Terry.Beech@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
59003,59003,Burnaby South / Burnaby-Sud,Jagmeet,Singh,Jagmeet.Singh@parl.gc.ca,NDP,around 45 minutes,drive,invest in regional and express commuter rail
48004,48004,Calgary Centre / Calgary-Centre,Kent,Hehr,Kent.Hehr@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48005,48005,Calgary Confederation,Len,Webber,Len.Webber@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48006,48006,Calgary Forest Lawn,Deepak,Obhrai,Deepak.Obhrai@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48007,48007,Calgary Heritage,Bob,Benzen,Bob.Benzen@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48008,48008,Calgary Midnapore,Stephanie,Kusie,Stephanie.Kusie@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48009,48009,Calgary Nose Hill,Michelle,Rempel,Michelle.Rempel@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48010,48010,Calgary Rocky Ridge,Pat,Kelly,Pat.Kelly@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48011,48011,Calgary Shepard,Tom,Kmiec,Tom.Kmiec@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48012,48012,Calgary Signal Hill,Ron,Liepert,Ron.Liepert@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48013,48013,Calgary Skyview,Darshan Singh,Kang,Darshan Singh.Kang@parl.gc.ca,Independent,around 30 minutes,drive,invest in better public transit
35016,35016,Cambridge,Bryan,May,Bryan.May@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
12001,12001,Cape Breton--Canso,Rodger,Cuzner,Rodger.Cuzner@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
11001,11001,Cardigan,Lawrence,MacAulay,Lawrence.MacAulay@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
59004,59004,Cariboo--Prince George,Todd,Doherty,Todd.Doherty@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35088,35088,Carleton,Pierre,Poilievre,Pierre.Poilievre@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
47004,47004,Carlton Trail--Eagle Creek /Sentier Carlton--Eagle Creek,Kelly,Block,Kelly.Block@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
12002,12002,Central Nova / Nova-Centre,Sean,Fraser,Sean.Fraser@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
59005,59005,Central Okanagan--Similkameen--Nicola,Dan,Albas,Dan.Albas@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24019,24019,Charlesbourg--Haute-Saint-Charles,Pierre,Paul-Hus,Pierre.Paul-Hus@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
46002,46002,Charleswood--St. James--Assiniboia--Headingley,Doug,Eyolfson,Doug.Eyolfson@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
11002,11002,Charlottetown,Sean,Casey,Sean.Casey@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24021,24021,Chƒteauguay--Lacolle,Brenda,Shanahan,Brenda.Shanahan@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35017,35017,Chatham-Kent--Leamington,Dave,Van Kesteren,Dave.Van Kesteren@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24022,24022,Chicoutimi--Le Fjord,Richard,Martel,Richard.Martel@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
59006,59006,Chilliwack--Hope,Mark,Strahl,Mark.Strahl@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
46003,46003,Churchill--Keewatinook Aski,Niki,Ashton,Niki.Ashton@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
59007,59007,Cloverdale--Langley City,John,Aldag,John.Aldag@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
10003,10003,Coast of Bays--Central--Notre Dame,Scott,Simms,Scott.Simms@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24023,24023,Compton--Stanstead,Marie-Claude,Bibeau,Marie-Claude.Bibeau@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
59008,59008,Coquitlam--Port Coquitlam,Ron,McKinnon,Ron.McKinnon@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
59009,59009,Courtenay--Alberni,Gord,Johns,Gord.Johns@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
59010,59010,Cowichan--Malahat--Langford,Alistair,MacGregor,Alistair.MacGregor@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
12003,12003,Cumberland--Colchester,Bill,Casey,Bill.Casey@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
47002,47002,Cypress Hills--Grasslands,David,Anderson,David.Anderson@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
12004,12004,Dartmouth--Cole Harbour,Darren,Fisher,Darren.Fisher@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
46004,46004,Dauphin--Swan River--Neepawa,Robert,Sopuck,Robert.Sopuck@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35018,35018,Davenport,Julie,Dzerowicz,Julie.Dzerowicz@parl.gc.ca,Liberal,around 45 minutes,take transit,invest in regional and express commuter rail
59011,59011,Delta,Carla,Qualtrough,Carla.Qualtrough@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
47003,47003,Desneth‚--Missinippi--Churchill River / Desneth‚--Missinippi--RiviŠre Churchill,Georgina,Jolibois,Georgina.Jolibois@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35019,35019,Don Valley East / Don Valley-Est,Yasmin,Ratansi,Yasmin.Ratansi@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35020,35020,Don Valley North / Don Valley-Nord,Geng,Tan,Geng.Tan@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
35021,35021,Don Valley West / Don Valley-Ouest,Robert,Oliphant,Robert.Oliphant@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
24024,24024,Dorval--Lachine--LaSalle,Anju,Dhillon,Anju.Dhillon@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24025,24025,Drummond,Fran‡ois,Choquette,Fran‡ois.Choquette@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35022,35022,Dufferin--Caledon,David,Tilson,David.Tilson@parl.gc.ca,Conservative,around 45 minutes,drive,invest in regional and express commuter rail
35023,35023,Durham,Erin,O'Toole,Erin.O'Toole@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48014,48014,Edmonton Centre / Edmonton-Centre,Randy,Boissonnault,Randy.Boissonnault@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48015,48015,Edmonton Griesbach,Kerry,Diotte,Kerry.Diotte@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48016,48016,Edmonton Manning,Ziad,Aboultaif,Ziad.Aboultaif@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48017,48017,Edmonton Mill Woods,Amarjeet,Sohi,Amarjeet.Sohi@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48018,48018,Edmonton Riverbend,Matt,Jeneroux,Matt.Jeneroux@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48019,48019,Edmonton Strathcona,Linda,Duncan,Linda.Duncan@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
48020,48020,Edmonton West / Edmonton-Ouest,Kelly,McCauley,Kelly.McCauley@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48021,48021,Edmonton--Wetaskiwin,Mike,Lake,Mike.Lake@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
35024,35024,Eglinton--Lawrence,Marco,Mendicino,Marco.Mendicino@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
11003,11003,Egmont,Robert,Morrissey,Robert.Morrissey@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35025,35025,Elgin--Middlesex--London,Karen,Vecchio,Karen.Vecchio@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
46005,46005,Elmwood--Transcona,Daniel,Blaikie,Daniel.Blaikie@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
59026,59026,Esquimalt--Saanich--Sooke,Randall,Garrison,Randall.Garrison@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
35026,35026,Essex,Tracey,Ramsey,Tracey.Ramsey@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
35027,35027,Etobicoke Centre / Etobicoke-Centre,Borys,Wrzesnewskyj,Borys.Wrzesnewskyj@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35029,35029,Etobicoke North / Etobicoke-Nord,Kirsty,Duncan,Kirsty.Duncan@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35028,35028,Etobicoke--Lakeshore,James,Maloney,James.Maloney@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
35030,35030,Flamborough--Glanbrook,David,Sweet,David.Sweet@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
59012,59012,Fleetwood--Port Kells,Ken,Hardie,Ken.Hardie@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48022,48022,Foothills,John,Barlow,John.Barlow@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
48023,48023,Fort McMurray--Cold Lake,David,Yurdiga,David.Yurdiga@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
13003,13003,Fredericton,Matt,DeCourcey,Matt.DeCourcey@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
13004,13004,Fundy Royal,Alaina,Lockhart,Alaina.Lockhart@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24026,24026,Gasp‚sie--Les ×les-de-la-Madeleine,Diane,Lebouthillier,Diane.Lebouthillier@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24027,24027,Gatineau,Steven,MacKinnon,Steven.MacKinnon@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35031,35031,Glengarry--Prescott--Russell,Francis,Drouin,Francis.Drouin@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
48024,48024,Grande Prairie--Mackenzie,Chris,Warkentin,Chris.Warkentin@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35032,35032,Guelph,Lloyd,Longfield,Lloyd.Longfield@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35033,35033,Haldimand--Norfolk,Diane,Finley,Diane.Finley@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35034,35034,Haliburton--Kawartha Lakes--Brock,Jamie,Schmale,Jamie.Schmale@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
12005,12005,Halifax,Andy,Fillmore,Andy.Fillmore@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
12006,12006,Halifax West / Halifax-Ouest,Geoff,Regan,Geoff.Regan@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35035,35035,Hamilton Centre / Hamilton-Centre,David,Christopherson,David.Christopherson@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
35036,35036,Hamilton East--Stoney Creek / Hamilton-Est--Stoney Creek,Bob,Bratina,Bob.Bratina@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35037,35037,Hamilton Mountain,Scott,Duvall,Scott.Duvall@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
35038,35038,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,Filomena,Tassi,Filomena.Tassi@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35039,35039,Hastings--Lennox and Addington,Mike,Bossio,Mike.Bossio@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24028,24028,Hochelaga,Marjolaine,Boutin-Sweet,Marjolaine.Boutin-Sweet@parl.gc.ca,NDP,around 45 minutes,take transit,invest in regional and express commuter rail
24029,24029,Honor‚-Mercier,Pablo,Rodriguez,Pablo.Rodriguez@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24030,24030,Hull--Aylmer,Greg,Fergus,Greg.Fergus@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35121,35121,Humber River--Black Creek,Judy A.,Sgro,Judy A..Sgro@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35040,35040,Huron--Bruce,Ben,Lobb,Ben.Lobb@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24031,24031,Joliette,Gabriel,Ste-Marie,Gabriel.Ste-Marie@parl.gc.ca,Bloc Qu‚b‚cois,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24032,24032,JonquiŠre,Karine,Trudel,Karine.Trudel@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
59013,59013,Kamloops--Thompson--Cariboo,Cathy,McLeod,Cathy.McLeod@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35041,35041,Kanata--Carleton,Karen,McCrimmon,Karen.McCrimmon@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
59014,59014,Kelowna--Lake Country,Stephen,Fuhr,Stephen.Fuhr@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35042,35042,Kenora,Robert,Nault,Robert.Nault@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
46006,46006,Kildonan--St. Paul,MaryAnn,Mihychuk,MaryAnn.Mihychuk@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
12007,12007,Kings--Hants,Vacant,Vacant,Vacant.Vacant@parl.gc.ca,Vacant,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35044,35044,Kingston and the Islands / Kingston et les ×les,Mark,Gerretsen,Mark.Gerretsen@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35043,35043,King--Vaughan,Deborah,Schulte,Deborah.Schulte@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
35045,35045,Kitchener Centre / Kitchener-Centre,Raj,Saini,Raj.Saini@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35047,35047,Kitchener South--Hespeler / Kitchener-Sud--Hespeler,Marwan,Tabbara,Marwan.Tabbara@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35046,35046,Kitchener--Conestoga,Harold,Albrecht,Harold.Albrecht@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
59015,59015,Kootenay--Columbia,Wayne,Stetski,Wayne.Stetski@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24033,24033,La Pointe-de-l'×le,Mario,Beaulieu,Mario.Beaulieu@parl.gc.ca,Bloc Qu‚b‚cois,around 30 minutes,drive,invest in better public transit
24034,24034,La Prairie,Jean-Claude,Poissant,Jean-Claude.Poissant@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
10004,10004,Labrador,Yvonne,Jones,Yvonne.Jones@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24035,24035,Lac-Saint-Jean,Richard,H‚bert,Richard.H‚bert@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24036,24036,Lac-Saint-Louis,Francis,Scarpaleggia,Francis.Scarpaleggia@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48025,48025,Lakeland,Shannon,Stubbs,Shannon.Stubbs@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35048,35048,Lambton--Kent--Middlesex,Bev,Shipley,Bev.Shipley@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35049,35049,Lanark--Frontenac--Kingston,Scott,Reid,Scott.Reid@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
59016,59016,Langley--Aldergrove,Mark,Warawa,Mark.Warawa@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
24037,24037,LaSalle--mard--Verdun,David,Lametti,David.Lametti@parl.gc.ca,Liberal,around 45 minutes,take transit,invest in regional and express commuter rail
24038,24038,Laurentides--Labelle,David de Burgh,Graham,David de Burgh.Graham@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24039,24039,Laurier--Sainte-Marie,H‚lŠne,LaverdiŠre,H‚lŠne.LaverdiŠre@parl.gc.ca,NDP,around 30 minutes,take transit,invest in better public transit
24040,24040,Laval--Les ×les,Fay‡al,El-Khoury,Fay‡al.El-Khoury@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35050,35050,Leeds-Grenville-Thousand Islands and Rideau Lakes / Leeds-Grenville-Thousand Islands et Rideau Lakes,Michael,Barrett,Michael.Barrett@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
48026,48026,Lethbridge,Rachael,Harder,Rachael.Harder@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24042,24042,L‚vis--LotbiniŠre,Jacques,Gourde,Jacques.Gourde@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
35052,35052,London North Centre / London-Centre-Nord,Peter,Fragiskatos,Peter.Fragiskatos@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35053,35053,London West / London-Ouest,Kate,Young,Kate.Young@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35051,35051,London--Fanshawe,Irene,Mathyssen,Irene.Mathyssen@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
